timestamp,symbol,side,entry,exit,tp1_hit,tp2_hit,sl_hit,trailing_hit,early_exit,pnl,fees,ml_samples_at_entry,ml_samples_at_exit,ml_conf_at_entry,ml_conf_at_exit,state_path,outcome,leverage,confidence,strategy,entry_reasons,entry_type,primary_driver,regime,volatility_band
2026-04-19T00:43:28.608918+00:00,HYPE,LONG,44.2986,43.4195,False,False,True,False,False,-9.90,0.10,0,121,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,4.0,70.6,ensemble,"{""strategies_agree"": [""regime_trend""], ""num_agree"": 1, ""trend_adjustment"": 2.0, ""regime_score"": 0, ""individual_confidences"": {""regime_trend"": 65.0}, ""mode"": ""weighted_veto"", ""rr1"": 1.5, ""ml_adjusted"": true, ""entry_type"": ""TREND"", ""primary_driver"": ""regime_trend"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1083, ""win_prob_deflated"": 0.468, ""fee_drag_pct"": 3.5, ""setup_key"": ""HYPE_BUY_regime_trend"", ""llm_notes"": """", ""snapshot_entry"": 44.2985, ""live_entry"": 44.303, ""entry_slippage_pct"": 0.0102, ""pre_trade_sim"": {""ev"": 17.3, ""max_loss"": -42.41, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",TREND,regime_trend,illiquid,low
2026-04-19T02:50:45.006853+00:00,HYPE,LONG,44.1996,43.2485,False,False,True,False,False,-10.70,0.10,0,121,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,4.0,67.9,ensemble,"{""strategies_agree"": [""regime_trend""], ""num_agree"": 1, ""trend_adjustment"": 2.0, ""regime_score"": 0, ""individual_confidences"": {""regime_trend"": 65.0}, ""mode"": ""weighted_veto"", ""rr1"": 1.5, ""ml_adjusted"": true, ""entry_type"": ""TREND"", ""primary_driver"": ""regime_trend"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1084, ""win_prob_deflated"": 0.468, ""fee_drag_pct"": 3.5, ""setup_key"": ""HYPE_BUY_regime_trend"", ""llm_notes"": """", ""snapshot_entry"": 44.1945, ""live_entry"": 44.204, ""entry_slippage_pct"": 0.0215, ""pre_trade_sim"": {""ev"": 17.33, ""max_loss"": -42.44, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",TREND,regime_trend,illiquid,low
2026-04-19T08:15:06.209736+00:00,SOL,SHORT,85.568,84.9345,True,False,False,True,False,23.88,0.31,0,122,0.0000,0.0000,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,TRAILING_WIN,5.6,69.7,ensemble,"{""strategies_agree"": [""confidence_scorer""], ""num_agree"": 1, ""trend_adjustment"": 0, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 75.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1101, ""win_prob_deflated"": 0.4056, ""fee_drag_pct"": 7.8, ""setup_key"": ""SOL_SELL_confidence_scorer"", ""llm_notes"": """", ""snapshot_entry"": 85.6105, ""live_entry"": 85.577, ""entry_slippage_pct"": 0.0391, ""pre_trade_sim"": {""ev"": 8.73, ""max_loss"": -32.78, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",MEDIUM,confidence_scorer,illiquid,low
2026-04-19T08:16:57.363796+00:00,SOL,SHORT,85.66,85.0245,True,False,False,True,False,24.06,0.32,0,122,0.0000,0.0000,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,TRAILING_WIN,5.6,66.6,ensemble,"{""strategies_agree"": [""confidence_scorer""], ""num_agree"": 1, ""trend_adjustment"": 0, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 75.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1108, ""win_prob_deflated"": 0.4056, ""fee_drag_pct"": 7.7, ""setup_key"": ""SOL_SELL_confidence_scorer"", ""llm_notes"": """", ""snapshot_entry"": 85.66, ""live_entry"": 85.6685, ""entry_slippage_pct"": 0.0099, ""pre_trade_sim"": {""ev"": 8.9, ""max_loss"": -33.36, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",MEDIUM,confidence_scorer,illiquid,low
2026-04-19T13:05:07.275857+00:00,BTC,SHORT,75181.0,75639.5,False,False,True,False,False,-13.69,0.32,0,123,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,5.6,66.5,ensemble,"{""strategies_agree"": [""confidence_scorer""], ""num_agree"": 1, ""trend_adjustment"": 0, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 75.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1263, ""win_prob_deflated"": 0.4212, ""fee_drag_pct"": 10.9, ""setup_key"": ""BTC_SELL_confidence_scorer"", ""llm_notes"": """", ""snapshot_entry"": 75209.5, ""live_entry"": 75188.5, ""entry_slippage_pct"": 0.0279, ""pre_trade_sim"": {""ev"": 2.44, ""max_loss"": -24.96, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""MODERATE""}}",MEDIUM,confidence_scorer,illiquid,low
2026-04-19T17:02:16.442778+00:00,BTC,LONG,75928.9,75243.5,False,False,True,False,False,-15.98,0.20,0,123,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,7.0,67.2,ensemble,"{""strategies_agree"": [""confidence_scorer"", ""bollinger_squeeze""], ""num_agree"": 2, ""trend_adjustment"": 2.0, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 66.5, ""bollinger_squeeze"": 63.65}, ""mode"": ""weighted_veto"", ""rr1"": 1.66, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""bollinger_squeeze"", ""regime"": ""trending"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1613, ""win_prob_deflated"": 0.4394, ""fee_drag_pct"": 9.0, ""setup_key"": ""BTC_BUY_BB"", ""llm_notes"": """", ""snapshot_entry"": 75975.5, ""live_entry"": 75936.5, ""entry_slippage_pct"": 0.0513, ""pre_trade_sim"": {""ev"": 4.8, ""max_loss"": -35.44, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",MEDIUM,bollinger_squeeze,trending,low
2026-04-19T17:08:10.256202+00:00,SOL,LONG,86.539,85.3665,False,False,True,False,False,-18.42,0.19,0,124,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,5.6,69.4,ensemble,"{""strategies_agree"": [""confidence_scorer""], ""num_agree"": 1, ""trend_adjustment"": 2.1, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 70.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1235, ""win_prob_deflated"": 0.4004, ""fee_drag_pct"": 4.8, ""setup_key"": ""SOL_BUY_confidence_scorer"", ""llm_notes"": """", ""snapshot_entry"": 86.5445, ""live_entry"": 86.5475, ""entry_slippage_pct"": 0.0035, ""pre_trade_sim"": {""ev"": 12.01, ""max_loss"": -40.83, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",MEDIUM,confidence_scorer,illiquid,low
2026-04-19T22:32:03.340751+00:00,ETH,SHORT,2293.42,2265.95,True,False,False,True,False,14.40,0.11,0,125,0.0000,0.0000,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,TRAILING_WIN,7.0,72.4,ensemble,"{""strategies_agree"": [""confidence_scorer"", ""bollinger_squeeze""], ""num_agree"": 2, ""trend_adjustment"": 0, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 71.25, ""bollinger_squeeze"": 63.65}, ""mode"": ""weighted_veto"", ""rr1"": 1.67, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""ranging"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.3751, ""win_prob_deflated"": 0.5051, ""fee_drag_pct"": 6.4, ""setup_key"": ""ETH_SELL_BB"", ""llm_notes"": """", ""snapshot_entry"": 2295.55, ""live_entry"": 2293.65, ""entry_slippage_pct"": 0.0828, ""pre_trade_sim"": {""ev"": 11.19, ""max_loss"": -43.03, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",MEDIUM,confidence_scorer,ranging,low
2026-04-19T22:37:23.200993+00:00,BTC,SHORT,74649.0,74113.5,True,False,False,True,False,7.07,0.10,0,126,0.0000,0.0000,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,TRAILING_WIN,5.6,75.2,ensemble,"{""strategies_agree"": [""confidence_scorer""], ""num_agree"": 1, ""trend_adjustment"": 0, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 70.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.084, ""win_prob_deflated"": 0.3931, ""fee_drag_pct"": 6.7, ""setup_key"": ""BTC_SELL_confidence_scorer"", ""llm_notes"": """", ""snapshot_entry"": 74649.5, ""live_entry"": 74656.5, ""entry_slippage_pct"": 0.0094, ""pre_trade_sim"": {""ev"": 5.61, ""max_loss"": -30.64, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""HIGH""}}",MEDIUM,confidence_scorer,illiquid,low
2026-04-19T22:40:00.456358+00:00,SOL,SHORT,84.516,83.6325,True,False,False,True,False,16.91,0.17,0,127,0.0000,0.0000,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,TRAILING_WIN,5.6,77.8,ensemble,"{""strategies_agree"": [""confidence_scorer""], ""num_agree"": 1, ""trend_adjustment"": 0, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 70.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1026, ""win_prob_deflated"": 0.3931, ""fee_drag_pct"": 4.7, ""setup_key"": ""SOL_SELL_confidence_scorer"", ""cluster_risk"": 0.144, ""llm_notes"": """", ""snapshot_entry"": 84.466, ""live_entry"": 84.5245, ""entry_slippage_pct"": 0.0693, ""pre_trade_sim"": {""ev"": 11.35, ""max_loss"": -42.96, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""HIGH""}}",MEDIUM,confidence_scorer,illiquid,low
2026-04-20T07:21:22.505677+00:00,SOL,SHORT,83.605,84.9775,False,False,True,False,False,-15.68,0.14,0,128,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,5.6,81.3,ensemble,"{""strategies_agree"": [""confidence_scorer""], ""num_agree"": 1, ""trend_adjustment"": 0, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 75.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1429, ""win_prob_deflated"": 0.4056, ""fee_drag_pct"": 4.3, ""setup_key"": ""SOL_SELL_confidence_scorer"", ""llm_notes"": """", ""snapshot_entry"": 83.638, ""live_entry"": 83.6135, ""entry_slippage_pct"": 0.0293, ""pre_trade_sim"": {""ev"": 14.73, ""max_loss"": -47.78, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",MEDIUM,confidence_scorer,illiquid,low
2026-04-20T15:23:16.922635+00:00,HYPE,SHORT,41.2699,41.3445,False,False,True,False,False,-2.59,0.27,0,129,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,4.0,69.3,ensemble,"{""strategies_agree"": [""multi_tier_quality""], ""num_agree"": 1, ""trend_adjustment"": 0, ""regime_score"": -2, ""individual_confidences"": {""multi_tier_quality"": 66.0}, ""mode"": ""weighted_veto"", ""rr1"": 1.5, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""multi_tier_quality"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1612, ""win_prob_deflated"": 0.5, ""fee_drag_pct"": 6.2, ""setup_key"": ""HYPE_SELL_multi_tier_quality"", ""llm_notes"": """", ""snapshot_entry"": 41.2865, ""live_entry"": 41.274, ""entry_slippage_pct"": 0.0303, ""pre_trade_sim"": {""ev"": 12.16, ""max_loss"": -30.35, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",MEDIUM,multi_tier_quality,illiquid,low
2026-04-21T15:26:31.224424+00:00,SOL,LONG,86.519,85.6705,False,False,True,False,False,-27.18,0.31,0,130,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,7.0,68.5,ensemble,"{""strategies_agree"": [""regime_trend"", ""confidence_scorer"", ""bollinger_squeeze""], ""num_agree"": 3, ""trend_adjustment"": 4.3, ""regime_score"": 3, ""individual_confidences"": {""regime_trend"": 60.0, ""confidence_scorer"": 64.17, ""bollinger_squeeze"": 71.61}, ""mode"": ""weighted_veto"", ""rr1"": 1.66, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""bollinger_squeeze"", ""regime"": ""trending"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.6344, ""win_prob_deflated"": 0.6207, ""fee_drag_pct"": 5.6, ""setup_key"": ""SOL_BUY_BB"", ""llm_notes"": """", ""snapshot_entry"": 86.5475, ""live_entry"": 86.528, ""entry_slippage_pct"": 0.0225, ""pre_trade_sim"": {""ev"": 17.63, ""max_loss"": -50.91, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",MEDIUM,bollinger_squeeze,trending,low
2026-04-21T20:19:54.392879+00:00,HYPE,SHORT,40.0265,39.5885,True,False,False,True,False,18.52,0.14,0,131,0.0000,0.0000,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,TRAILING_WIN,5.0,65.6,ensemble,"{""strategies_agree"": [""confidence_scorer"", ""bollinger_squeeze""], ""num_agree"": 2, ""trend_adjustment"": 0, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 66.5, ""bollinger_squeeze"": 63.65}, ""mode"": ""weighted_veto"", ""rr1"": 1.5, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.2014, ""win_prob_deflated"": 0.4873, ""fee_drag_pct"": 3.2, ""setup_key"": ""HYPE_SELL_BB"", ""llm_notes"": """", ""snapshot_entry"": 40.0575, ""live_entry"": 40.0305, ""entry_slippage_pct"": 0.0674, ""pre_trade_sim"": {""ev"": 25.94, ""max_loss"": -53.88, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""LOW""}}",MEDIUM,confidence_scorer,illiquid,low
2026-04-22T00:01:12.667372+00:00,SOL,SHORT,84.928,86.0195,False,False,True,False,False,-12.51,0.11,0,132,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,7.0,72.3,ensemble,"{""strategies_agree"": [""confidence_scorer"", ""multi_tier_quality"", ""bollinger_squeeze""], ""num_agree"": 3, ""trend_adjustment"": 0, ""regime_score"": -1, ""individual_confidences"": {""confidence_scorer"": 68.82000000000001, ""multi_tier_quality"": 68.0, ""bollinger_squeeze"": 71.61}, ""mode"": ""weighted_veto"", ""rr1"": 1.7, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""bollinger_squeeze"", ""regime"": ""ranging"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.3275, ""win_prob_deflated"": 0.5, ""fee_drag_pct"": 4.5, ""setup_key"": ""SOL_SELL_BB+MTQ"", ""cluster_risk"": 0.186, ""llm_notes"": """", ""snapshot_entry"": 84.909, ""live_entry"": 84.9365, ""entry_slippage_pct"": 0.0324, ""pre_trade_sim"": {""ev"": 16.16, ""max_loss"": -51.67, ""recommendation"": ""reduce_size"", ""correlation_risk"": ""MODERATE""}}",MEDIUM,bollinger_squeeze,ranging,low
