id,timestamp,factor,symbol,predicted_side,confidence,entry_price,exit_price,actual_return,resolved,resolve_timestamp
7d2fa0f49dc5,1775061204.0232897,regime_trend,HYPE,SELL,65.0,36.878,,,expired,1776567043.1695824
883747186018,1775061245.7252364,regime_trend,HYPE,SELL,65.0,36.893,,,expired,1776567043.1695824
ab3b6a7cdc15,1775061306.3840785,regime_trend,HYPE,SELL,65.0,36.893,,,expired,1776567043.1695824
90490e833f85,1775061595.4767406,regime_trend,HYPE,SELL,65.0,36.831,,,expired,1776567043.1695824
217789e52ed2,1775061657.2346108,regime_trend,HYPE,SELL,65.0,36.831,,,expired,1776567043.1695824
cbfeca2fb21c,1775061718.4590588,regime_trend,HYPE,SELL,65.0,36.831,,,expired,1776567043.1695824
57d5088b8bc1,1775061757.797712,regime_trend,HYPE,SELL,65.0,36.831,,,expired,1776567043.1695824
0cff41449bef,1775061970.7385697,regime_trend,HYPE,SELL,65.0,36.853,,,expired,1776567043.1695824
df4afe00f87f,1775062038.3652475,regime_trend,HYPE,SELL,65.0,36.853,,,expired,1776567043.1695824
739bed8f63a6,1775062099.5163283,regime_trend,HYPE,SELL,65.0,36.853,,,expired,1776567043.1695824
1d2bc7c1fc43,1775062139.9315317,regime_trend,HYPE,SELL,65.0,36.853,,,expired,1776567043.1695824
45d29eb64ae2,1775062243.4941156,regime_trend,HYPE,SELL,65.0,36.735,,,expired,1776567043.1695824
964755dc4a49,1775062294.4924493,regime_trend,HYPE,SELL,65.0,36.735,,,expired,1776567043.1695824
d828055ad519,1775062336.9774268,regime_trend,HYPE,SELL,65.0,36.735,,,expired,1776567043.1695824
789765865104,1775062387.3988907,regime_trend,HYPE,SELL,65.0,36.735,,,expired,1776567043.1695824
952621a6285c,1775062450.1013834,regime_trend,HYPE,SELL,65.0,36.725,,,expired,1776567043.1695824
1ed21b886f99,1775062501.103856,regime_trend,HYPE,SELL,65.0,36.725,,,expired,1776567043.1695824
e07cf7872753,1775062542.0435536,regime_trend,HYPE,SELL,65.0,36.725,,,expired,1776567043.1695824
f9a1e02c5a76,1775062592.1452146,regime_trend,HYPE,SELL,65.0,36.725,,,expired,1776567043.1695824
635cd4a898a5,1775062654.6954973,regime_trend,HYPE,SELL,65.0,36.685,,,expired,1776567043.1695824
